Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Chestnut Road, Raynes Park","£340,000",Flat,1.0,1.0,Ask agent
"Hepple Close, Isleworth","£340,000",Flat,3.0,1.0,Ask agent
"Gilmore Road, Lewisham SE13","£340,000",Flat,2.0,1.0,Ask agent
"Coram Street, London, WC1N","£340,000",Studio,,1.0,300 sq ft
"Chaseville Park Road, London","£340,000",Apartment,1.0,1.0,Ask agent
"High Street, London","£340,000",Flat,2.0,1.0,Ask agent
"Jefferson Close, West Ealing","£340,000",Flat,1.0,1.0,Ask agent
"Falcon Way, Wanstead","£340,000",Apartment,1.0,1.0,Ask agent
"Apartment , River Apartments,  Gillender Street, London","£340,000",Apartment,,1.0,420 sq ft
"Bromyard House, Bromyard Avenue, London, W3","£340,000",Apartment,2.0,1.0,Ask agent
"Beechcroft Close, SW16","£340,000",Apartment,2.0,1.0,Ask agent
"Leroy Street, London","£340,000",Apartment,1.0,1.0,Ask agent
"Mott House, Bow, E3","£340,000",Flat,1.0,1.0,520 sq ft
"St Pauls Avenue, Willesden Green, London, NW2","£340,000",Flat,1.0,1.0,520 sq ft
"Artichoke Hill, London, E1W","£340,000",Apartment,2.0,1.0,Ask agent
"Avarn Road, London, SW17","£340,000",Flat,2.0,1.0,Ask agent
"Portland Grove, London","£340,000",Flat,1.0,1.0,Ask agent
"123 Wapping High Street, London, E1W","£340,000",Flat,,1.0,Ask agent
"Marlborough Road, Woolwich","£340,000",Flat,1.0,1.0,Ask agent
"John Barnes Walk, London, E15","£340,000",Maisonette,2.0,1.0,Ask agent
"Wood Vale, Forest Hill","£340,000",Flat,1.0,1.0,495 sq ft
"Brimsdown House, Bow E3","£340,000",Flat,2.0,1.0,Ask agent
"Glebelands Close, High Road, North Finchley N12","£340,000",Apartment,2.0,2.0,Ask agent
"1 Jefferson Plaza, Bow, E3 3QB","£340,000",Apartment,1.0,1.0,Ask agent
"Celandine Court, Chingford Avenue, Chingford, E4","£340,000",Apartment,2.0,1.0,Ask agent
"Broome House, Pembury Road, London, E5","£340,000",Flat,3.0,1.0,Ask agent
"Lankaster Gardens, London, N2","£330,000",Apartment,1.0,1.0,Ask agent
"Corfield Street, London, E2","£340,000",Apartment,1.0,1.0,493 sq ft
"Atlantis Avenue, London, E16","£340,000",Flat,1.0,1.0,550 sq ft
"Court Farm Road, London","£340,000",Flat,2.0,1.0,667 sq ft
"Coram Street, Bloomsbury","£340,000",Studio,,,Ask agent
"Silverworks Close, London","£340,000",Apartment,1.0,1.0,Ask agent
"11 Oxley Square, London, E3","£340,000",Apartment,1.0,1.0,Ask agent
"Sylvan Road, Crystal Palace","£340,000",Maisonette,2.0,,Ask agent
"Grange Road, London","£340,000",Ground Flat,1.0,1.0,Ask agent
"Leigham Court Road, London, SW16","£340,000",Apartment,2.0,1.0,Ask agent
"Malvern Road, Maida Vale, London, NW6","£340,000",Flat,2.0,1.0,617 sq ft
"Perigan Court, Churchview Road","£340,000",Ground Flat,2.0,1.0,542 sq ft
"Victoria Dock Road, London, E16","£340,000",Apartment,1.0,1.0,724 sq ft
"The Ridgeway, Enfield","£340,000",Ground Flat,1.0,1.0,Ask agent
"St Georges Grove, Earlsfield, London, SW17","£340,000",Flat,1.0,1.0,583 sq ft
"Juniper Drive, London","£340,000",Apartment,1.0,1.0,Ask agent
"Amhurst Gardens, Isleworth","£340,000",Apartment,2.0,1.0,Ask agent
"Southbury Road, Enfield","£340,000",Apartment,2.0,1.0,Ask agent
"Loftus Road, Shepherd's Bush W12","£340,000",Flat,1.0,1.0,Ask agent
"Chase Road, London, N14","£340,000",Flat,1.0,1.0,Ask agent
"Horn Lane, London","£340,000",Flat,2.0,2.0,840 sq ft
"Banting Drive, London, N21","£340,000",Apartment,2.0,1.0,511 sq ft
"Mitchell House, College Cross, N1","£340,000",Flat,1.0,1.0,Ask agent
"Chapter Way, Colliers Wood, London, SW19","£340,000",Flat,1.0,1.0,527 sq ft
"Anstice Close, Chiswick","£340,000",Flat,1.0,1.0,Ask agent
"Gardner Close, Wanstead","£330,000",Flat,2.0,2.0,624 sq ft
"Hopewell Yard, Camberwell, London, SE5","£340,000",Flat,2.0,1.0,748 sq ft
"High Street, Teddington","£339,999",Flat,2.0,1.0,Ask agent
"Worbeck Road, Anerley, SE20","£339,995",Apartment,2.0,1.0,Ask agent
"Cunard Crescent, Winchmore Hill, London, N21","£339,995",Flat,2.0,1.0,Ask agent
"Conington Road, Lewisham, London, SE13","£339,995",Apartment,1.0,1.0,Ask agent
The Avenue N17,"£339,995",Flat,2.0,1.0,576 sq ft
Rosendale Road Dulwich,"£339,950",Apartment,1.0,1.0,Ask agent
"Crest Road, London, NW2","£339,950",Flat,2.0,1.0,Ask agent
"Somerset Road, Teddington","£339,950",Flat,1.0,1.0,Ask agent
"Upper East, London, E3","£339,950",Studio,,1.0,459 sq ft
"Heath Road, Twickenham","£339,950",Flat,1.0,1.0,Ask agent
"Hale Grove Gardens, Mill Hill, NW7","£339,950",Flat,2.0,1.0,Ask agent
"Copley Close, London, W7 1QN","£339,950",Duplex,2.0,1.0,Ask agent
"Gould Road, Twickenham, TW2","£339,000",Apartment,1.0,1.0,546 sq ft
"River Mill One, Station Road, Lewisham, London, SE13 5FL","£339,000",Flat,1.0,1.0,Ask agent
"74 Fore Street, London, N18","£339,000",Apartment,2.0,3.0,Ask agent
"Sussex Gardens, London, W2","£338,000",Apartment,1.0,1.0,457 sq ft
"Halton Court, 5 Cranfield Walk, Blackheath, London, SE3","£337,500",Apartment,2.0,1.0,Ask agent
"Pan Peninsula, West Tower, Pan Peninsula Square, London, E14","£337,500",Studio,,1.0,Ask agent
"Tudor Road, London","£337,000",Apartment,2.0,1.0,721 sq ft
"River Apartment, 21 Gillender Street, Bow E3","£336,000",Flat,1.0,1.0,500 sq ft
"Gillender Street, Bromley, E3 3JY","£336,000",Apartment,,1.0,438 sq ft
"Canterbury Crescent, Brixton, London, SW9","£335,000",Flat,2.0,1.0,665 sq ft
"Luminosity Court, Ealing, London, W13","£335,000",Flat,1.0,1.0,510 sq ft
"Burghley Hall Close, Southfields, SW19","£335,000",Flat,1.0,1.0,390 sq ft
"Kennington Lane, Elephant and Castle, London, SE11","£335,000",Flat,1.0,1.0,516 sq ft
"Cromwell Road, South Kensington","£335,000",Flat,,1.0,Ask agent
"Burghley Hall Close, Southfields, SW19","£335,000",Apartment,1.0,1.0,Ask agent
"Fanshaw Street, Hoxton","£335,000",Flat,1.0,1.0,Ask agent
"Frazer Nash Close, Isleworth","£335,000",Flat,1.0,1.0,581 sq ft
"Mostyn Grove, London","£335,000",Flat,1.0,1.0,Ask agent
"90 HIGH STREET, LONDON, E15, Stratford, London, E15","£335,000",Flat,1.0,1.0,569 sq ft
"Upton Park Road, Forest Gate, E7 8LA","£335,000",Flat,2.0,1.0,799 sq ft
"High Road, Willesden Green, London, NW10","£335,000",Apartment,1.0,1.0,Ask agent
"Wandsworth Road, Clapham","£335,000",Flat,1.0,1.0,Ask agent
"The Oxygen Apartments, Royal Victoria Dock, E16","£335,000",Apartment,1.0,1.0,640 sq ft
"Prowse Court, 74 Fore Street, London, N18","£335,000",Flat,2.0,2.0,Ask agent
"Lea Road, London, EN2","£335,000",Flat,2.0,1.0,680 sq ft
"Victoria Dock Road, London","£335,000",Flat,1.0,1.0,829 sq ft
"Ferry Lane, Brentford, TW8","£335,000",Apartment,1.0,1.0,Ask agent
"Birkbeck Road, London","£335,000",Apartment,1.0,1.0,Ask agent
"Hamlet Gardens, Hammersmith","£335,000",Flat,1.0,1.0,Ask agent
"John Busch House, London Road, Isleworth, TW7","£335,000",Apartment,1.0,1.0,594 sq ft
"Flat 3, Mitcham Road, Tooting, London SW17","£335,000",Flat,1.0,,Ask agent
"Kensington Court, Grenville Place, Mill Hill, NW7","£335,000",Apartment,2.0,1.0,Ask agent
"Maltings Close, London, E3","£335,000",Flat,2.0,2.0,650 sq ft
"Shakspeare Walk, London, N16","£335,000",Flat,1.0,1.0,Ask agent
"Styles Gardens, Brixton, London, SW9","£335,000",Flat,2.0,1.0,680 sq ft
"Yeldham Road, Hammersmith","£335,000",Studio,,1.0,Ask agent
"Chichester Close Beckton, London","£335,000",Semi-Detached,2.0,1.0,Ask agent
"Hornsey Road, London, N7","£335,000",Duplex,3.0,2.0,Ask agent
"Georgiana Street, London, NW1","£335,000",Studio,,1.0,290 sq ft
"Loughborough Street, Kennington","£335,000",Flat,2.0,1.0,Ask agent
"Booth Road, Docklands, London, E16","£335,000",Flat,1.0,1.0,493 sq ft
"Canterbury Court, Bromyard Avenue, London","£335,000",Flat,1.0,1.0,Ask agent
"Dragmore Street, London, SW4","£335,000",Flat,1.0,1.0,498 sq ft
"Staines Road, Twickenham","£335,000",Apartment,1.0,1.0,451 sq ft
"Holborough House, Lismore Boulevard, Colindale, NW9","£335,000",Apartment,1.0,1.0,Ask agent
"Canterbury Court, Bromyard Avenue, London, W3","£335,000",Apartment,1.0,1.0,Ask agent
"Alexandra Road, Wimbledon, London, SW19","£335,000",Flat,1.0,1.0,454 sq ft
"Bow Road, Bow, London, E3","£335,000",Flat,1.0,1.0,538 sq ft
"41 Farthing Court, 33 Langstone Way, Mill Hill, London, NW7 1GQ","£335,000",Flat,1.0,1.0,Ask agent
"Kirchen Road, Ealing, London, W13","£335,000",Flat,1.0,,566 sq ft
"Streatham High Road, Streatham","£335,000",Flat,1.0,1.0,Ask agent
"Hornsey Road, London, N7","£335,000",Maisonette,3.0,2.0,Ask agent
"Bycullah Road, London","£335,000",Apartment,2.0,1.0,Ask agent
"Arrandene Apartments, Silverworks Close, Colindale, London, NW9","£335,000",Apartment,1.0,1.0,Ask agent
"River Heights, High Street, Stratford, E15","£335,000",Flat,1.0,1.0,Ask agent
"Victory Parade, Woolwich, SE18","£335,000",Studio,,1.0,429 sq ft
"Charlton Church Lane, Charlton, SE7","£335,000",Apartment,1.0,1.0,Ask agent
"Hornsey Road, London, N7","£335,000",Duplex,3.0,2.0,906 sq ft
"Fitzhugh Grove, London, SW18","£335,000",Apartment,2.0,1.0,646 sq ft
"Ellington Court, High Street, Southgate","£329,995",Flat,2.0,1.0,840 sq ft
"Red Lion Square, Wandsworth, London, SW18","£335,000",Apartment,,1.0,421 sq ft
"St Catherines Close, Grand Drive","£335,000",Flat,1.0,1.0,482 sq ft
"Waghorn Street, Peckham, London","£335,000",Apartment,1.0,1.0,Ask agent
"Chiswick Court, Silver Crescent, London, W4","£335,000",Flat,2.0,1.0,603 sq ft
"Basevi Way, Deptford, London, SE8","£335,000",Apartment,1.0,1.0,399 sq ft
"St Michaels Court, Langdon Park E14","£335,000",Apartment,1.0,1.0,511 sq ft
"Oakridge Drive, East Finchley","£335,000",Flat,1.0,1.0,Ask agent
"Upton Park Road, London, E7","£335,000",Apartment,2.0,1.0,Ask agent
"Grove Lane, London","£335,000",Apartment,1.0,1.0,Ask agent
"Muswell Hill Broadway, London","£335,000",Flat,1.0,1.0,Ask agent
"Cromwell Road, Teddington","£335,000",Flat,1.0,1.0,Ask agent
"Streatham High Road, Streatham, London, SW16","£335,000",Flat,3.0,1.0,890 sq ft
"Churchview Road, Twickenham","£335,000",Flat,2.0,1.0,Ask agent
Astell Road London SE3,"£335,000",Flat,1.0,1.0,Ask agent
"Simmonds Road, Leyton, E10","£335,000",Flat,1.0,1.0,592 sq ft
"Clonmel Road, Teddington, TW11","£335,000",Flat,1.0,1.0,551 sq ft
"Enfield Cloisters, Fanshaw Street, London, N1","£335,000",Apartment,1.0,1.0,Ask agent
"Barrowell Green, London","£335,000",Flat,2.0,1.0,Ask agent
"Wellington Gardens, Charlton, SE7","£335,000",Apartment,1.0,1.0,Ask agent
"Streatham High Road, Streatham","£335,000",Flat,2.0,1.0,Ask agent
"Sydenham Avenue, London","£335,000",Flat,2.0,1.0,Ask agent
"Yeldham Road, London, W6","£335,000",Studio,,1.0,Ask agent
"Selhurst New Road, London, SE25","£335,000",Flat,3.0,1.0,Ask agent
"The Broadway, London, SW19","£335,000",Apartment,1.0,1.0,579 sq ft
"Camberwell Church Street, London, SE5","£330,000",Flat,1.0,1.0,573 sq ft
"Normington Close, Leigham Court Road, London, SW16","£335,000",Apartment,1.0,,Ask agent
"Scotland Green, London, N17","£335,000",Apartment,1.0,1.0,Ask agent
"Brixton Road, SW9","£335,000",Flat,1.0,1.0,700 sq ft
"Hoy Close, London","£335,000",Apartment,1.0,1.0,Ask agent
"Eardley Road, London, SW16 6BL","£335,000",Flat,1.0,1.0,Ask agent
"Morena Street, London, SE6","£335,000",Maisonette,2.0,1.0,Ask agent
"Thrale Road, Streatham Park, London, SW16","£335,000",Flat,1.0,1.0,518 sq ft
"Sheen Lane, East Sheen, SW14","£335,000",Apartment,1.0,1.0,Ask agent
"Argyll Road, Woolwich","£335,000",Flat,1.0,1.0,Ask agent
"Cannon Hill Lane, Raynes Park, SW20","£335,000",Apartment,1.0,1.0,Ask agent
"Tennison Road, London","£335,000",Flat,2.0,1.0,590 sq ft
"Nursery Road, Wimbledon","£335,000",Flat,1.0,1.0,Ask agent
"Hamilton Road, London","£335,000",Flat,2.0,1.0,Ask agent
"Jenson Way, Crystal Palace, London, SE19","£335,000",Apartment,1.0,1.0,Ask agent
"High Road, Finchley","£335,000",Flat,1.0,1.0,Ask agent
"Western Gateway, London, E16","£335,000",Apartment,1.0,1.0,431 sq ft
"Trafalgar Point, Downham Road, London, N1","£335,000",Flat,1.0,1.0,Ask agent
"Wood Vale, Forest Hill, SE23","£335,000",Flat,1.0,1.0,Ask agent
"55 Farthing Court, 33 Langstone Way, Mill Hill, London, NW7 1GQ","£335,000",Flat,1.0,1.0,Ask agent
"Cygnet Close, London, NW10","£335,000",Flat,2.0,1.0,Ask agent
"Parkview Apartments, Poplar, London, E14","£335,000",Flat,1.0,1.0,551 sq ft
"Pathfield Road, London, SW16","£335,000",Apartment,2.0,1.0,Ask agent
"Claude Road, London, E13","£335,000",Flat,2.0,1.0,Ask agent
"Kersfield Road, London, SW15","£335,000",Apartment,1.0,1.0,436 sq ft
"Waverley Road, Enfield","£335,000",Flat,2.0,1.0,Ask agent
"Farm Road, London, NW10","£335,000",Apartment,1.0,1.0,492 sq ft
"Arbor House, Brentford Lock West, Brentford  TW8","£335,000",Apartment,1.0,1.0,581 sq ft
"Blackwall Way, LONDON, London, E14","£335,000",Flat,1.0,1.0,527 sq ft
"Kingston Road, Wimbledon","£335,000",Flat,1.0,1.0,Ask agent
"Chase Side, London","£335,000",Flat,1.0,1.0,620 sq ft
Two bed apartment for sale in Norbury,"£335,000",Apartment,2.0,2.0,721 sq ft
"Westminster Gardens, London, E4","£335,000",Flat,2.0,1.0,592 sq ft
"River Heights, High Street, London, E15","£335,000",Apartment,1.0,1.0,Ask agent
"Bellingham Road, London, SE6","£335,000",Flat,2.0,1.0,Ask agent
"Boyton Road, Hornsey, London, N8","£335,000",Maisonette,1.0,1.0,538 sq ft
"Tennison Road, South Norwood, SE25","£335,000",Flat,2.0,1.0,55 sq ft
"Whitehall Road, North Chingford E4","£335,000",Apartment,1.0,1.0,Ask agent
"Follett Street, London","£334,995",Flat,2.0,2.0,Ask agent
"Park View Road, London, N17","£334,950",Ground Flat,2.0,,581 sq ft
"3 Station Approach, Woodside Park, London, N12","£334,000",Apartment,1.0,1.0,Ask agent
"72 Grove Park, London","£333,200",Apartment,1.0,1.0,Ask agent
"Northumberland Park, London, N17","£332,950",Maisonette,2.0,,646 sq ft
"13 Waterway Avenue, Lewisham, SE13","£332,500",Flat,1.0,1.0,Ask agent
"Sales and Marketing Suite address:
Imperial Building,
No.2 Duke of Wellington Avenue,
London, Royal Arsenal Riverside
SE18 6FR","£332,500",Apartment,1.0,1.0,487 sq ft
Bowes Road,"£332,000",Ground Flat,2.0,1.0,Ask agent
"Tanner Close, Colindale, NW9","£332,000",Apartment,1.0,1.0,493 sq ft
"Brooks Avenue, East Ham","£330,500",Terraced,3.0,1.0,Ask agent
"Eldon Park, South Norwood, SE25","£330,000",Apartment,1.0,1.0,610 sq ft
"High Road, Leytonstone, London","£330,000",Flat,1.0,1.0,544 sq ft
"Brookdale Road, Catford, London, SE6","£330,000",Flat,2.0,1.0,689 sq ft
"Market Place, Brentford","£330,000",Flat,1.0,1.0,Ask agent
"Waverton Road, London, SW18","£330,000",Apartment,1.0,1.0,505 sq ft
"Chapter Way, 2 Chapter Way, London, SW19","£330,000",Flat,1.0,1.0,Ask agent
"Barrier Point Road, Silvertown, London, E16","£330,000",Flat,1.0,1.0,581 sq ft
"Stroud Crescent, London, SW15","£330,000",Maisonette,2.0,1.0,Ask agent
"Banstead Court, 60 Westway, London, W12 0QJ","£330,000",Flat,1.0,1.0,Ask agent
"Lyell Street, London, E14","£330,000",Flat,1.0,1.0,426 sq ft
"52 Sydney Rd,, Enfield Town, London, EN2","£330,000",Apartment,2.0,1.0,Ask agent
"Pegler Square, Kidbrooke, London, SE3","£330,000",Flat,1.0,1.0,424 sq ft
"Tally Ho, 100 Kingsway","£330,000",Apartment,2.0,2.0,824 sq ft
"Maud Street, London, E16","£330,000",Flat,1.0,1.0,538 sq ft
"Loampit Vale, Lewisham, London","£330,000",Apartment,1.0,1.0,Ask agent
"Portland Road, London","£330,000",Flat,1.0,1.0,484 sq ft
"Hadyn Park Road, Shepherds Bush, London W12 9AG","£330,000",Flat,1.0,1.0,385 sq ft
"Kirkland Drive, Enfield","£330,000",Flat,2.0,2.0,743 sq ft
"Alpine Road, London, ..., NW9 9BT","£330,000",Flat,2.0,2.0,Ask agent
"Taverners Court, 30 Grove Road, Bow, London, E3","£330,000",Flat,1.0,1.0,492 sq ft
"PYRENE HOUSE, Brentford, TW8","£330,000",Flat,1.0,1.0,458 sq ft
"Devas Street, Bow, London, E3","£330,000",Flat,2.0,1.0,628 sq ft
"Valerian Way,  London, E15","£330,000",Flat,2.0,1.0,Ask agent
"Roma Corte, Elmira Street, London, SE13","£330,000",Studio,,1.0,527 sq ft
"Langley Drive, London, W3","£330,000",Apartment,2.0,1.0,Ask agent
Howard Road,"£330,000",Maisonette,3.0,1.0,Ask agent
"Gordon Road, Enfield, Middlesex, EN2","£330,000",Apartment,2.0,1.0,Ask agent
"Henry Doulton Drive, Tooting","£330,000",Flat,1.0,1.0,Ask agent
"Gough Walk, London","£330,000",Flat,2.0,1.0,Ask agent
"East Parkside, North Greenwich, London, SE10","£330,000",Studio,,1.0,439 sq ft
"Watford Way, Mill Hill, London, NW7","£330,000",Flat,2.0,1.0,675 sq ft
"12 Baltimore Wharf, Canary Wharf, London, E14","£330,000",Flat,,1.0,340 sq ft
"Marshall Path, Thamesmead, SE28","£330,000",Terraced,3.0,1.0,Ask agent
"Wandsworth Road, London, SW8","£330,000",Flat,2.0,1.0,Ask agent
"Pan Peninsula, Canary Wharf, E14","£330,000",Apartment,,1.0,Ask agent
"Grange Road, London","£330,000",Studio,,1.0,Ask agent
".Norbury Crescent, Norbury, London, SW16","£330,000",Flat,1.0,1.0,449 sq ft
"Norbury Crescent, Norbury, London, SW16","£330,000",Flat,1.0,1.0,434 sq ft
"Harrow Road, Wembley, HA9","£330,000",Apartment,1.0,1.0,358 sq ft
"Manor Road, Twickenham","£330,000",Apartment,2.0,1.0,561 sq ft
"Norbury Crescent, Norbury, London, SW16","£330,000",Flat,1.0,1.0,430 sq ft
"11 Canton Street, London, E14","£330,000",Apartment,1.0,1.0,463 sq ft
"30 Westmoreland Road, London","£330,000",Flat,1.0,1.0,Ask agent
"Maltings Close, London, E3 3TD","£330,000",Flat,1.0,1.0,Ask agent
"Church Road, Crystal Palace, SE19","£330,000",Maisonette,1.0,1.0,Ask agent
"23b High Street, Acton, London W3 6ND","£330,000",Flat,3.0,,Ask agent
"Bywell Place, London, E16","£330,000",Flat,1.0,1.0,557 sq ft
"Flat 3, 75 Eardley Crescent, Kensington and Chelsea, London, SW5 9JT","£330,000",Flat,2.0,,Ask agent
"Park West, Hyde Park Estate, London, W2","£330,000",Studio,,1.0,272 sq ft
"Silwood Street, London, SE16","£330,000",Apartment,1.0,,Ask agent
"Boulevard Drive, Colindale, London, NW9","£330,000",Studio,,1.0,463 sq ft
"Anerley Park, London, SE20","£330,000",Flat,2.0,1.0,Ask agent
"Royal Gateway, Thanet Tower, Caxton Street North, London, E16","£330,000",Flat,,1.0,452 sq ft
"Bullen Street, Goulden House Bullen Street, SW11","£330,000",Flat,1.0,1.0,454 sq ft
"Troughton Road, Charlton, SE7","£330,000",Apartment,1.0,1.0,Ask agent
"Dinton Road, London, SW19","£330,000",Flat,2.0,1.0,Ask agent
"Abbey Place, Felixstow Road, Abbey Wood, London, SE2","£330,000",Flat,2.0,2.0,Ask agent
"Aerodrome Road, Colindale, London, NW9","£330,000",Flat,1.0,1.0,437 sq ft
"Deburgh Road, Wimbledon, London","£330,000",Flat,1.0,1.0,593 sq ft
"Kingston Road, Wimbledon, London, SW19","£330,000",Apartment,1.0,1.0,Ask agent
"Honor Oak Park, Honor Oak","£330,000",Flat,2.0,1.0,Ask agent
"Academia Way, London","£330,000",Flat,2.0,1.0,Ask agent
"Honor Oak Park, Forest Hill, SE23 1EA","£330,000",Apartment,1.0,1.0,Ask agent
"Regina Road, Ealing, W13","£330,000",Flat,1.0,1.0,Ask agent
"Elstree Apartments, Grove Park, London, NW9 0FF","£330,000",Flat,1.0,1.0,538 sq ft
"Fairlop Court, Fairlop Road, London, E11","£330,000",Flat,3.0,1.0,Ask agent
"Chadwin Road, London, E13","£330,000",Flat,2.0,1.0,Ask agent
"Rochester Avenue, London, E13","£330,000",Flat,2.0,1.0,Ask agent
"Bruce Castle Court, Lordship Lane, London, N17","£330,000",Apartment,2.0,1.0,Ask agent
"590 High Road, Leytonstone, London, E11","£330,000",Apartment,1.0,1.0,528 sq ft
"Rothbury Walk, London, N17","£330,000",Flat,3.0,1.0,Ask agent
"Station Road, Twickenham, TW1","£330,000",Flat,1.0,1.0,489 sq ft
